Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CTL_SENSOR","OffPage","02 MCU&SENSOR","2","SCH","U1.36","570","380","4C","{4}"
"CTL_SENSOR","OffPage","04 POWER","4","SCH","Q4.1","1010","540","2C","{2}"
"GPRS_PWRKEY","OffPage","02 MCU&SENSOR","2","SCH","U1.34","570","400","4C","{3}"
"GPRS_PWRKEY","OffPage","03 GPRS","3","SCH","Q2.1","150","260","5D","{2}"
"GPRS_RESET","OffPage","02 MCU&SENSOR","2","SCH","U1.33","570","410","4C","{3}"
"GPRS_RESET","OffPage","03 GPRS","3","SCH","C18.2,U6.16","160","430","5C","{2}"
"USART2_TX","OffPage","02 MCU&SENSOR","2","SCH","U1.16","170","240","5D","{3}"
"USART2_TX","OffPage","03 GPRS","3","SCH","U6.10","160","370","5C","{2}"
"ADC_USB","OffPage","02 MCU&SENSOR","2","SCH","U1.9","170","170","5D","{4}"
"ADC_USB","OffPage","04 POWER","4","SCH","R25.2,R30.1","240","480","5C","{2}"
"ADC_BAT","OffPage","02 MCU&SENSOR","2","SCH","U1.8","170","160","5D","{4}"
"ADC_BAT","OffPage","04 POWER","4","SCH","R27.2,R31.1","650","480","3C","{2}"
"USART2_RX","OffPage","02 MCU&SENSOR","2","SCH","U1.17","170","260","5D","{3}"
"USART2_RX","OffPage","03 GPRS","3","SCH","U6.9","160","360","5C","{2}"
"CTL_GPRS","OffPage","02 MCU&SENSOR","2","SCH","U1.35","570","390","4C","{4}"
"CTL_GPRS","OffPage","04 POWER","4","SCH","Q7.1","140","1060","5A","{2}"
